fid,OGC_FID,3D_Easting,3D_Northing,theme,2D_Easting,2D_Northing,Distance_Easting,Distance_Northing,Distance
35480,1160,304645.8342,130870.1348,Buildings,304643.21,130870.03,2.624213535,0.104807337,2.626305628
35596,924,304183.2407,125247.3056,Buildings,304181.35,125246.25,1.890665565,1.055550908,2.165364634
36139,1187,304888.2413,129343.1681,Buildings,304884.82,129342.36,3.421330009,0.808148198,3.515480414
36366,1174,304919.7743,129133.621,Buildings,304917.71,129131.96,2.064336635,1.661026782,2.649621806
36415,1162,304814.0249,129363.3016,Buildings,304811.99,129362.77,2.034931881,0.531558106,2.103212253
36426,1162,304814.0249,129363.3016,Buildings,304811.99,129362.77,2.034931881,0.531558106,2.103212253
36436,1213,304890.2107,129269.9509,Buildings,304891.31,129270.55,-1.099292126,-0.599107053,1.251947459
36756,948,303648.9541,125540.6353,Buildings,303647.13,125539.32,1.824126919,1.315348472,2.248906539
36757,913,303635.8138,125544.8933,Buildings,303633.79,125544.09,2.023823171,0.803295541,2.177416807
36759,861,303641.3942,125519.3459,Buildings,303639.28,125517.33,2.114239377,2.015931209,2.921298818
36760,948,303648.9541,125540.6353,Buildings,303647.13,125539.32,1.824126919,1.315348472,2.248906539
37269,1200,304639.757,130896.6728,Buildings,304637.34,130896,2.417024154,0.672771838,2.508909665
37275,1226,304658.735,130893.6648,Buildings,304656.64,130892.8,2.095021954,0.864790424,2.266490561
37276,1200,304639.757,130896.6728,Buildings,304637.34,130896,2.417024154,0.672771838,2.508909665
37492,990,305381.2329,133877.9535,Buildings,305378.325,133876.667,2.907939901,1.286509731,3.179814736
38121,755,304362.4312,132999.9305,Buildings,304361.26,133000,1.171226632,-0.069475377,1.173285409
38124,758,304354.6153,133008.3223,Buildings,304354.04,133007.79,0.57529826,0.532292546,0.783775122
38133,764,304350.9432,133025.2221,Buildings,304350.44,133024.79,0.503234116,0.43205189,0.663259686
38134,749,304354.0329,133013.4925,Buildings,304352.94,133012.59,1.092858683,0.902533531,1.41735912
38137,764,304350.9432,133025.2221,Buildings,304350.44,133024.79,0.503234116,0.43205189,0.663259686
38216,1116,303820.1223,134096.5497,Buildings,303816.6,134095.63,3.522300929,0.919741578,3.640402231
38218,984,303820.9074,134119.7775,Buildings,303817.51,134118.67,3.397393168,1.107493882,3.573348995
38250,1064,303844.2595,134119.4163,Buildings,303841.24,134118.56,3.019544226,0.85632188,3.138619839
38255,1145,303892.7512,134092.4443,Buildings,303891.079,134091.424,1.672244387,1.020262226,1.95891202
38256,1012,303894.2073,134117.3825,Buildings,303892.279,134116.074,1.928276722,1.308494495,2.330323789
38261,1041,305412.4221,133846.5097,Buildings,305410.75,133845.23,1.672050298,1.279746038,2.105588308
38446,19,305029.4213,140918.3695,Buildings,305026.62,140918.02,2.801303729,0.349481329,2.823019621
41229,753,304326.8299,133019.1149,Buildings,304324.92,133018.68,1.90989508,0.434872473,1.958778518
42353,1159,304719.0498,128755.2809,Buildings,304720.42,128755.04,-1.370222238,0.240869403,1.391232206
42364,1159,304719.0498,128755.2809,Buildings,304720.42,128755.04,-1.370222238,0.240869403,1.391232206
42370,1225,304718.3128,128762.4688,Buildings,304716.28,128761.73,2.032827297,0.738753256,2.162901568
42479,1221,304061.3368,128978.6889,Buildings,304059.23,128978.11,2.106778674,0.578885001,2.184862519
42522,1248,304129.2444,128981.7549,Buildings,304127.019,128980.348,2.225439928,1.406944728,2.632883655
44113,1157,304098.1071,126888.4687,Buildings,304095.547,126888.66,2.560097141,-0.191280912,2.567233094
44189,872,304235.0707,125243.0141,Buildings,304234.36,125240.86,0.710725868,2.154129839,2.268348876
44319,852,304343.1018,125239.3797,Buildings,304340.67,125238.58,2.431823042,0.799694832,2.559936548
44532,1240,304856.6626,129246.2263,Buildings,304854.5,129245.28,2.162630474,0.946310549,2.360608866
44561,1210,304397.7313,128959.7517,Buildings,304395.475,128958.982,2.256342338,0.769669452,2.384003316
44562,1170,304379.1352,128960.8093,Buildings,304377.118,128960.151,2.017171163,0.658258711,2.121858627
44563,1195,304378.507,128947.9573,Buildings,304376.258,128946.658,2.24904786,1.299310722,2.59738804
44564,1236,304396.3142,128946.3959,Buildings,304394.616,128945.488,1.698176933,0.907919811,1.925648794
44565,1210,304397.7313,128959.7517,Buildings,304395.475,128958.982,2.256342338,0.769669452,2.384003316
44597,1184,304687.0948,128732.3436,Buildings,304684.56,128731.16,2.534801328,1.183641999,2.797539303
44646,1199,304960.8995,129037.1698,Buildings,304958.42,129035.12,2.479545665,2.049763989,3.217091717
44673,1228,304846.7643,129385.1057,Buildings,304844.31,129384.35,2.45425522,0.755663596,2.567955638
44988,916,305647.5012,125164.7934,Buildings,305645.09,125163.99,2.411194999,0.803426298,2.541526144
45718,1190,306001.9571,129666.2511,Buildings,305999.52,129665.14,2.437055355,1.111056986,2.678373841
45720,1216,305997.8061,129689.9512,Buildings,305995.81,129689.19,1.996059475,0.761151301,2.136259518
46185,970,305582.8816,125124.9341,Buildings,305580.74,125124.01,2.141620322,0.92405754,2.332470781
46983,1232,306110.6942,132520.9418,Buildings,306108.05,132520.18,2.64422252,0.76178468,2.751768274
46987,1166,306129.3212,132532.9228,Buildings,306127.12,132532.77,2.201156983,0.152753417,2.206450922
47973,28,304787.5703,141402.8324,Buildings,304788.62,141405.49,-1.049725447,-2.657556855,2.857364511
47981,28,304787.5703,141402.8324,Buildings,304788.62,141405.49,-1.049725447,-2.657556855,2.857364511
49056,947,306453.2641,125252.1002,Buildings,306451.77,125250.2,1.494077025,1.900157426,2.417201771
49063,947,306453.2641,125252.1002,Buildings,306451.77,125250.2,1.494077025,1.900157426,2.417201771
49077,966,306477.8417,125271.509,Buildings,306476.42,125271.24,1.421725392,0.268971238,1.44694458
49197,912,306507.4605,125276.9269,Buildings,306505.79,125276.28,1.670549591,0.646919346,1.79143534
49206,912,306507.4605,125276.9269,Buildings,306505.79,125276.28,1.670549591,0.646919346,1.79143534
49960,12,304745.045,141129.3619,Buildings,304742.75,141131.47,2.295007622,-2.108104304,3.116274016
50682,1202,304899.026,129410.125,Buildings,304896.73,129409.41,2.296008346,0.715011116,2.404765107
50837,1177,304851.9465,129452.1838,Buildings,304852.807,129453.381,-0.860460105,-1.197196783,1.474337726
53524,50,306489.3301,138304.1065,Buildings,306487.324,138303.387,2.006082656,0.719478471,2.13120081
55110,897,305841.0158,125178.4499,Buildings,305838.65,125176.77,2.365812309,1.67992741,2.901589906
55111,864,305840.1856,125184.6241,Buildings,305837.83,125183.72,2.355581317,0.904137038,2.523138348
55137,951,305810.7252,125179.6135,Buildings,305808.18,125177.92,2.545238629,1.693546864,3.057178546
55217,860,306426.8435,125255.3492,Buildings,306424.93,125255.38,1.913471049,-0.030811323,1.9137191
55232,931,306468.1001,125275.8222,Buildings,306466.42,125275.72,1.680122277,0.102210299,1.683228389
55247,878,306498.8141,125286.7229,Buildings,306497.12,125286.21,1.694070134,0.512904974,1.770012749
55270,893,306596.4418,125387.3038,Buildings,306595.2,125386.34,1.241813369,0.963762647,1.571922035
55273,927,306590.4235,125401.4246,Buildings,306588.92,125401,1.503543028,0.424551633,1.562333423
55277,962,306575.9298,125379.5335,Buildings,306574.26,125378.23,1.669766095,1.303458873,2.118283231
